dataset,backbone,horizon,seed,method,status,mse,mae,mse_delta_pct_vs_raw,mae_delta_pct_vs_raw,prediction_path,output_dir,test_threshold_leakage,blocker_reason
ECL,PatchTST,96,2027,HalluGuard-LRBN,completed,100720.35006123593,226.13489158121743,5.38389536397808,1.445310332344606,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/halluguard_lrbn/ECL_PatchTST_96_seed2027/ECL_PatchTST_96_unified_revin_rdn_hybrid.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/runs/halluguard_lrbn/ECL_PatchTST_96_seed2027,False,
ECL,PatchTST,96,2027,RevIN,completed,94633.42551561985,221.09072492574055,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_96_seed2027/ECL_PatchTST_96_RevIN.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_96_seed2027,False,
ECL,PatchTST,96,2027,DishTS,completed,102541.62132988819,228.77847087402344,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_96_seed2027/ECL_PatchTST_96_DishTS.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_96_seed2027,False,
ECL,PatchTST,96,2027,SAN,completed,117082.09372140399,251.8588448689779,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_96_seed2027/ECL_PatchTST_96_SAN.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_96_seed2027,False,
ECL,PatchTST,96,2027,NST,completed,96215.77523460204,223.12037122497554,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_96_seed2027/ECL_PatchTST_96_NST.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_96_seed2027,False,
ECL,PatchTST,96,2027,TAFAS,completed,93069.09646730423,218.47423096822104,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_96_seed2027/ECL_PatchTST_96_TAFAS.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_96_seed2027,False,
ECL,PatchTST,96,2027,matched_sparse_smoothing,completed,98656.48125534889,227.364631827596,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_PatchTST_96_seed2027/ECL_PatchTST_96_matched_sparse_smoothing.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_PatchTST_96_seed2027,False,
ECL,PatchTST,96,2027,naive_smoothing,completed,98656.48125534889,227.364631827596,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_PatchTST_96_seed2027/ECL_PatchTST_96_naive_smoothing.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_PatchTST_96_seed2027,False,
ECL,PatchTST,96,2027,ema_smoothing,completed,115031.21976985793,251.92145928433231,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_PatchTST_96_seed2027/ECL_PatchTST_96_ema_smoothing.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_PatchTST_96_seed2027,False,
ECL,PatchTST,96,2027,median_smoothing,completed,96868.17356781017,224.31877250569661,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_PatchTST_96_seed2027/ECL_PatchTST_96_median_smoothing.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_PatchTST_96_seed2027,False,
